#Parameters = {h=1.5; l=55; n=18.5; w=50; wp=3; x=13}
#"Frequency / GHz"	"S1,1 (32) [Magnitude / dB]"
#----------------------------------------------
1.0000000000000	-0.47124197196728
1.0089999437332	-0.46044028424855
1.0180000066757	-0.45178968960191
1.0269999504089	-0.44536687950322
1.0360000133514	-0.44124706434575
1.0449999570847	-0.43950227999185
1.0540000200272	-0.44020379824315
1.0629999637604	-0.44341989877640
1.0720000267029	-0.44921784970013
1.0809999704361	-0.45766164476940
1.0900000333786	-0.46881434840636
1.0989999771118	-0.48274047080306
1.1080000400543	-0.49949965284137
1.1169999837875	-0.51915386606471
1.1260000467300	-0.54176319779875
1.1349999904633	-0.56738910386693
1.1440000534058	-0.59609067743040
1.1529999971390	-0.62792798090461
1.1619999408722	-0.66296283167513
1.1710000038147	-0.70125482745366
1.1799999475479	-0.74286722587408
1.1890000104904	-0.78785892089631
1.1979999542236	-0.83629761110645
1.2070000171661	-0.88824324649791
1.2159999608994	-0.94376398889233
1.2250000238419	-1.0029269092911
1.2339999675751	-1.0657994001175
1.2430000305176	-1.1324502467732
1.2519999742508	-1.2029533781455
1.2610000371933	-1.2773798751575
1.2699999809265	-1.3558087574835
1.2790000438690	-1.4383144729630
1.2879999876022	-1.5249774443561
1.2970000505447	-1.6158817060997
1.3059999942780	-1.7111115804202
1.3150000572205	-1.8107544312844
1.3240000009537	-1.9149024354593
1.3329999446869	-2.0236473330435
1.3420000076294	-2.1370862596382
1.3509999513626	-2.2553205973751
1.3600000143051	-2.3784550284232
1.3689999580383	-2.5065951634332
1.3780000209808	-2.6398530492176
1.3869999647141	-2.7783458573869
1.3960000276566	-2.9221931361347
1.4049999713898	-3.0715192927290
1.4140000343323	-3.2264552235058
1.4229999780655	-3.3871377625992
1.4320000410080	-3.5537060783846
1.4409999847412	-3.7263059895762
1.4500000476837	-3.9050924452918
1.4589999914169	-4.0902221210417
1.4680000543594	-4.2818650466672
1.4769999980927	-4.4801916008449
1.4859999418259	-4.6853823225642
1.4950000047684	-4.8976249080246
1.5039999485016	-5.1171172544654
1.5130000114441	-5.3440612069283
1.5219999551773	-5.5786671072373
1.5310000181198	-5.8211555750669
1.5399999618530	-6.0717518787660
1.5490000247955	-6.3306887959334
1.5579999685287	-6.5982040484330
1.5670000314713	-6.8745398622408
1.5759999752045	-7.1599402666141
1.5850000381470	-7.4546460280700
